Team,Age,MP,G,WEIGHT
Milwaukee Bucks,24,33.3,46,1531.8
Milwaukee Bucks,27,21.1,47,991.7
Milwaukee Bucks,26,29.4,45,1323
Milwaukee Bucks,29,29.3,49,1435.7
Milwaukee Bucks,30,27.9,49,1367.1
Milwaukee Bucks,32,21.1,24,506.4
Milwaukee Bucks,31,17.9,37,662.3
Milwaukee Bucks,22,17.7,21,371.7
Milwaukee Bucks,26,17.6,31,545.6
Milwaukee Bucks,27,17,49,833
Milwaukee Bucks,23,16,38,608
Milwaukee Bucks,22,15.6,23,358.8
Milwaukee Bucks,28,13.4,14,187.6
Milwaukee Bucks,21,11.7,35,409.5
Milwaukee Bucks,28,8.1,12,97.2
Milwaukee Bucks,23,7.3,4,29.2
Milwaukee Bucks,32,6.7,6,40.2
Milwaukee Bucks,23,5.3,7,37.1
Toronto Raptors,27,35.1,38,1333.8
Toronto Raptors,32,34.3,41,1406.3
Toronto Raptors,24,31.3,51,1596.3
Toronto Raptors,31,29.3,50,1465
Toronto Raptors,29,28.8,48,1382.4
Toronto Raptors,24,26.8,46,1232.8
Toronto Raptors,21,20.4,41,836.4
Toronto Raptors,26,18.8,30,564
Toronto Raptors,25,18.5,30,555
Toronto Raptors,26,18.3,46,841.8
Toronto Raptors,31,14.2,38,539.6
Toronto Raptors,28,11,35,385
Toronto Raptors,23,8.8,5,44
Toronto Raptors,28,8.2,26,213.2
Toronto Raptors,26,5.5,15,82.5
Toronto Raptors,25,4.8,5,24
Toronto Raptors,23,4.7,22,103.4
Indiana Pacers,26,31.9,36,1148.4
Indiana Pacers,29,31.7,49,1553.3
Indiana Pacers,30,30,49,1470
Indiana Pacers,22,28.1,44,1236.4
Indiana Pacers,31,27.6,49,1352.4
Indiana Pacers,27,25.4,49,1244.6
Indiana Pacers,22,25,47,1175
Indiana Pacers,29,20.6,44,906.4
Indiana Pacers,27,17.4,49,852.6
Indiana Pacers,22,10.6,30,318
Indiana Pacers,21,7.9,28,221.2
Indiana Pacers,28,7.2,27,194.4
Indiana Pacers,23,6.2,10,62
Indiana Pacers,22,2.9,11,31.9
Indiana Pacers,23,2.4,5,12
Indiana Pacers,20,2,3,6
Philadelphia 76ers,28,33.8,13,439.4
Philadelphia 76ers,22,33.4,50,1670
Philadelphia 76ers,24,33.4,47,1569.8
Philadelphia 76ers,29,32,29,928
Philadelphia 76ers,34,31,49,1519
Philadelphia 76ers,24,30.5,13,396.5
Philadelphia 76ers,31,26.6,35,931
Philadelphia 76ers,32,24.8,5,124
Philadelphia 76ers,20,22.5,19,427.5
Philadelphia 76ers,27,22,44,968
Philadelphia 76ers,26,21.1,45,949.5
Philadelphia 76ers,21,20.1,51,1025.1
Philadelphia 76ers,21,14.4,41,590.4
Philadelphia 76ers,23,12.6,25,315
Philadelphia 76ers,31,9.6,37,355.2
Philadelphia 76ers,22,8.8,12,105.6
Philadelphia 76ers,24,6.5,6,39
Philadelphia 76ers,22,4.5,2,9
Boston Celtics,26,32.6,43,1401.8
Boston Celtics,20,31.1,50,1555
Boston Celtics,32,28.4,40,1136
Boston Celtics,29,27.4,46,1260.4
Boston Celtics,24,26.7,49,1308.3
Boston Celtics,22,26,45,1170
Boston Celtics,28,25.9,45,1165.5
Boston Celtics,24,22.9,50,1145
Boston Celtics,26,14.9,37,551.3
Boston Celtics,32,14.9,32,476.8
Boston Celtics,24,10.6,36,381.6
Boston Celtics,21,9,22,198
