Team,Age,G,MP,WEIGHT,YEAR
Milwaukee Bucks,24,46,33.3,1531.8,2019
Milwaukee Bucks,27,47,21.1,991.7,2019
Milwaukee Bucks,26,45,29.4,1323,2019
Milwaukee Bucks,29,49,29.3,1435.7,2019
Milwaukee Bucks,30,49,27.9,1367.1,2019
Milwaukee Bucks,32,24,21.1,506.4,2019
Milwaukee Bucks,31,37,17.9,662.3,2019
Milwaukee Bucks,22,21,17.7,371.7,2019
Milwaukee Bucks,26,31,17.6,545.6,2019
Milwaukee Bucks,27,49,17,833,2019
Milwaukee Bucks,23,38,16,608,2019
Milwaukee Bucks,22,23,15.6,358.8,2019
Milwaukee Bucks,28,14,13.4,187.6,2019
Milwaukee Bucks,21,35,11.7,409.5,2019
Milwaukee Bucks,28,12,8.1,97.2,2019
Milwaukee Bucks,23,4,7.3,29.2,2019
Milwaukee Bucks,32,6,6.7,40.2,2019
Milwaukee Bucks,23,7,5.3,37.1,2019
Toronto Raptors,27,38,35.1,1333.8,2019
Toronto Raptors,32,41,34.3,1406.3,2019
Toronto Raptors,24,51,31.3,1596.3,2019
Toronto Raptors,31,50,29.3,1465,2019
Toronto Raptors,29,48,28.8,1382.4,2019
Toronto Raptors,24,46,26.8,1232.8,2019
Toronto Raptors,21,41,20.4,836.4,2019
Toronto Raptors,26,30,18.8,564,2019
Toronto Raptors,25,30,18.5,555,2019
Toronto Raptors,26,46,18.3,841.8,2019
Toronto Raptors,31,38,14.2,539.6,2019
Toronto Raptors,28,35,11,385,2019
Toronto Raptors,23,5,8.8,44,2019
Toronto Raptors,28,26,8.2,213.2,2019
Toronto Raptors,26,15,5.5,82.5,2019
Toronto Raptors,25,5,4.8,24,2019
Toronto Raptors,23,22,4.7,103.4,2019
Indiana Pacers,26,36,31.9,1148.4,2019
Indiana Pacers,29,49,31.7,1553.3,2019
Indiana Pacers,30,49,30,1470,2019
Indiana Pacers,22,44,28.1,1236.4,2019
Indiana Pacers,31,49,27.6,1352.4,2019
Indiana Pacers,27,49,25.4,1244.6,2019
Indiana Pacers,22,47,25,1175,2019
Indiana Pacers,29,44,20.6,906.4,2019
Indiana Pacers,27,49,17.4,852.6,2019
Indiana Pacers,22,30,10.6,318,2019
Indiana Pacers,21,28,7.9,221.2,2019
Indiana Pacers,28,27,7.2,194.4,2019
Indiana Pacers,23,10,6.2,62,2019
Indiana Pacers,22,11,2.9,31.9,2019
Indiana Pacers,23,5,2.4,12,2019
Indiana Pacers,20,3,2,6,2019
Philadelphia 76ers,28,13,33.8,439.4,2019
Philadelphia 76ers,22,50,33.4,1670,2019
Philadelphia 76ers,24,47,33.4,1569.8,2019
Philadelphia 76ers,29,29,32,928,2019
Philadelphia 76ers,34,49,31,1519,2019
Philadelphia 76ers,24,13,30.5,396.5,2019
Philadelphia 76ers,31,35,26.6,931,2019
Philadelphia 76ers,32,5,24.8,124,2019
Philadelphia 76ers,20,19,22.5,427.5,2019
Philadelphia 76ers,27,44,22,968,2019
Philadelphia 76ers,26,45,21.1,949.5,2019
Philadelphia 76ers,21,51,20.1,1025.1,2019
Philadelphia 76ers,21,41,14.4,590.4,2019
Philadelphia 76ers,23,25,12.6,315,2019
Philadelphia 76ers,31,37,9.6,355.2,2019
Philadelphia 76ers,22,12,8.8,105.6,2019
Philadelphia 76ers,24,6,6.5,39,2019
Philadelphia 76ers,22,2,4.5,9,2019
